k,pca_info_list,pca_t,kmeans_t,purity,f_list,ari_list
10,0.11066641530948096,0.9720425605773926,3.0135159492492676,0.8166666666666667,0.6781616818091385,0.6131757508772575
30,0.23612396360450008,2.495467185974121,4.966574668884277,0.8033333333333333,0.6571580204325328,0.5879572521168351
50,0.3339961913378322,3.239704132080078,8.506176233291626,0.7933333333333333,0.6503232758620688,0.5809679902654648
70,0.41952055267778154,3.7936620712280273,13.526559591293335,0.8166666666666667,0.6779089376053963,0.6141414141414141
90,0.49668651684100945,4.300008058547974,13.3286874294281,0.77,0.6223536527992473,0.5472674461375286
110,0.5688004429637172,8.499989032745361,15.750550031661987,0.76,0.6026177304007556,0.5239628254677225
130,0.6347452382356131,12.210860013961792,17.875849962234497,0.75,0.5964793500338524,0.5169405839412101
150,0.6959783362310203,12.866830825805664,23.141244411468506,0.7933333333333333,0.6490668476416694,0.580088456519289
170,0.7528734947779838,11.05324125289917,25.395516633987427,0.7033333333333334,0.5392801464108995,0.44859079245930095
190,0.805413289288721,0.6889140605926514,22.654899835586548,0.6866666666666666,0.5360963466325775,0.44397605780088967
210,0.8528339611092117,0.6824285984039307,20.927870273590088,0.6633333333333333,0.5055943581745439,0.408321248751848
230,0.8960573497072732,0.6544859409332275,22.961722135543823,0.7066666666666667,0.5405332067023947,0.45017798183719177
250,0.9366354378548474,0.7898650169372559,25.01023530960083,0.6133333333333333,0.4600703844071467,0.3535925226189044
270,0.9678313923278636,0.7391693592071533,28.495840311050415,0.67,0.48708387009288767,0.386152594041167
290,0.9925965931564615,0.6979918479919434,31.74085760116577,0.6433333333333333,0.4815844807705352,0.3796203920955424
