k,pca_info_list,pca_t,gmm_t,purity,f_list,ari_list
10,0.149085411556461,0.3757307529449463,7.850555419921875,0.57,0.43058944394503657,0.3114109374099184
30,0.30699531357349474,0.18265199661254883,2.1952102184295654,0.5066666666666667,0.3572951154247358,0.17759967733852416
50,0.42655939625573835,0.05056166648864746,2.1000120639801025,0.5033333333333333,0.3489658609519063,0.17830063544457453
70,0.5258920538235714,0.04785037040710449,2.37196946144104,0.53,0.37646081746455484,0.2350625779318627
90,0.6100042195124848,0.13036704063415527,2.840233087539673,0.56,0.4275397207510833,0.2995057284077598
110,0.6829038666840369,0.09372758865356445,3.342682361602783,0.49,0.38870141232345956,0.2570385058355954
130,0.7466440673286618,0.11787271499633789,3.8395159244537354,0.5466666666666666,0.39904064302845665,0.2745519842706092
150,0.8014237017665995,0.212052583694458,5.073430061340332,0.5666666666666667,0.4179259355340813,0.29741807803548037
170,0.8485218540238588,0.14241886138916016,6.08896803855896,0.7,0.516496465043205,0.41742429518388846
190,0.888365612196547,0.1405959129333496,7.413613796234131,0.49,0.3462553277856708,0.21728066760563608
210,0.9214994412831532,0.5917248725891113,9.257363080978394,0.6133333333333333,0.4405326404676843,0.3249035637187246
230,0.948388110625181,0.20310091972351074,9.179536819458008,0.6433333333333333,0.4760309278350516,0.36677552593611157
250,0.9700399632655186,0.1031198501586914,13.116565942764282,0.5433333333333333,0.42066853456701636,0.3013466062311451
270,0.9859601387669563,0.10458874702453613,12.265950202941895,0.53,0.39339184305627256,0.26711787965359024
290,0.9968814638996943,0.11537504196166992,15.581119060516357,0.61,0.42030633402448,0.30439750784535885
